NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract,owner_occupied,renter_occupied,owner_share,total_households,income_under_10k,income_30_35k,income_40_45k,income_75_100k,income_100_125k,income_200k_plus,total_vacant,vacant_for_rent,vacant_for_sale,GEOID
"Census Tract 501.05, Gwinnett County, Georgia",1656.0,1178.0,38.0,81.0,68.0,13.0,0.0,65.0,0.0,13,135,50105,800.0,745.0,0.517799352750809,1545.0,139.0,61.0,61.0,245.0,107.0,37.0,111.0,18.0,0.0,50253
"Census Tract 502.05, Gwinnett County, Georgia",1751.0,750.0,316.0,11.0,113.0,265.0,163.0,32.0,101.0,13,135,50205,799.0,899.0,0.4705535924617197,1698.0,78.0,24.0,77.0,303.0,132.0,62.0,53.0,53.0,0.0,50353
"Census Tract 505.35, Gwinnett County, Georgia",2353.0,2060.0,256.0,37.0,0.0,0.0,0.0,0.0,0.0,13,135,50535,1978.0,321.0,0.8603740756850805,2299.0,146.0,78.0,68.0,323.0,341.0,49.0,54.0,0.0,54.0,50683
"Census Tract 505.36, Gwinnett County, Georgia",1844.0,1263.0,311.0,170.0,0.0,0.0,31.0,46.0,0.0,13,135,50536,1125.0,606.0,0.6499133448873483,1731.0,46.0,76.0,88.0,294.0,225.0,0.0,113.0,50.0,30.0,50684
"Census Tract 505.37, Gwinnett County, Georgia",1864.0,227.0,0.0,10.0,60.0,282.0,618.0,353.0,314.0,13,135,50537,152.0,1519.0,0.0909634949132256,1671.0,204.0,98.0,119.0,210.0,130.0,42.0,193.0,145.0,0.0,50685
"Census Tract 505.38, Gwinnett County, Georgia",2386.0,2372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,135,50538,1917.0,387.0,0.83203125,2304.0,49.0,130.0,100.0,261.0,300.0,270.0,82.0,42.0,40.0,50686
"Census Tract 505.39, Gwinnett County, Georgia",1941.0,928.0,234.0,37.0,114.0,136.0,372.0,58.0,62.0,13,135,50539,832.0,1014.0,0.4507042253521127,1846.0,54.0,140.0,52.0,315.0,105.0,10.0,95.0,86.0,0.0,50687
"Census Tract 505.40, Gwinnett County, Georgia",2757.0,1178.0,118.0,103.0,0.0,339.0,645.0,244.0,121.0,13,135,50540,1040.0,1567.0,0.3989259685462217,2607.0,136.0,198.0,110.0,511.0,352.0,112.0,150.0,69.0,0.0,50688
"Census Tract 505.41, Gwinnett County, Georgia",2195.0,67.0,9.0,0.0,152.0,437.0,857.0,306.0,367.0,13,135,50541,22.0,1775.0,0.0122426265998887,1797.0,153.0,251.0,116.0,238.0,44.0,0.0,398.0,398.0,0.0,50689
"Census Tract 505.42, Gwinnett County, Georgia",2465.0,245.0,375.0,0.0,58.0,304.0,638.0,429.0,416.0,13,135,50542,211.0,2089.0,0.0917391304347826,2300.0,71.0,133.0,165.0,231.0,59.0,68.0,165.0,136.0,0.0,50690
"Census Tract 505.43, Gwinnett County, Georgia",2428.0,2125.0,276.0,0.0,11.0,0.0,0.0,0.0,16.0,13,135,50543,1968.0,460.0,0.8105436573311368,2428.0,70.0,101.0,249.0,583.0,215.0,91.0,0.0,0.0,0.0,50691
"Census Tract 505.44, Gwinnett County, Georgia",4095.0,3805.0,90.0,66.0,116.0,0.0,0.0,0.0,0.0,13,135,50544,3227.0,576.0,0.8485406258217197,3803.0,145.0,28.0,47.0,659.0,521.0,225.0,292.0,46.0,117.0,50692
"Census Tract 505.47, Gwinnett County, Georgia",2721.0,2687.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,13,135,50547,2115.0,606.0,0.7772877618522602,2721.0,42.0,37.0,162.0,461.0,319.0,152.0,0.0,0.0,0.0,50695
"Census Tract 505.48, Gwinnett County, Georgia",3161.0,2986.0,139.0,0.0,17.0,0.0,0.0,0.0,0.0,13,135,50548,2744.0,288.0,0.9050131926121372,3032.0,52.0,122.0,184.0,411.0,308.0,386.0,129.0,54.0,0.0,50696
"Census Tract 505.45, Gwinnett County, Georgia",4690.0,3840.0,200.0,0.0,0.0,148.0,196.0,285.0,21.0,13,135,50545,3066.0,1409.0,0.6851396648044693,4475.0,331.0,84.0,214.0,436.0,597.0,220.0,215.0,161.0,0.0,50693
"Census Tract 505.46, Gwinnett County, Georgia",5648.0,5465.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,13,135,50546,4643.0,886.0,0.8397540242358473,5529.0,381.0,224.0,271.0,1314.0,351.0,200.0,119.0,88.0,0.0,50694
"Census Tract 505.49, Gwinnett County, Georgia",1689.0,1650.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,13,135,50549,1377.0,273.0,0.8345454545454546,1650.0,46.0,57.0,67.0,339.0,233.0,116.0,39.0,0.0,0.0,50697
"Census Tract 506.05, Gwinnett County, Georgia",4937.0,4395.0,42.0,0.0,29.0,181.0,65.0,25.0,96.0,13,135,50605,3731.0,1022.0,0.7849779086892489,4753.0,179.0,228.0,39.0,984.0,710.0,294.0,184.0,71.0,41.0,50753
"Census Tract 506.06, Gwinnett County, Georgia",7928.0,6306.0,750.0,0.0,42.0,190.0,178.0,68.0,394.0,13,135,50606,5438.0,2121.0,0.7194073290117741,7559.0,174.0,228.0,243.0,988.0,1018.0,1025.0,369.0,129.0,51.0,50754
"Census Tract 506.07, Gwinnett County, Georgia",5527.0,5478.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,13,135,50607,4318.0,1020.0,0.8089171974522293,5338.0,120.0,38.0,20.0,975.0,666.0,397.0,189.0,0.0,189.0,50755
"Census Tract 506.08, Gwinnett County, Georgia",6393.0,6227.0,0.0,0.0,96.0,0.0,0.0,0.0,14.0,13,135,50608,4964.0,1056.0,0.8245847176079735,6020.0,127.0,231.0,55.0,1193.0,976.0,324.0,373.0,0.0,124.0,50756
"Census Tract 506.09, Gwinnett County, Georgia",4497.0,4169.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,13,135,50609,3711.0,600.0,0.8608211551844119,4311.0,104.0,122.0,13.0,884.0,377.0,617.0,186.0,0.0,115.0,50757
"Census Tract 506.10, Gwinnett County, Georgia",5260.0,5260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,135,50610,4438.0,636.0,0.8746551044540796,5074.0,132.0,57.0,101.0,868.0,738.0,1000.0,186.0,106.0,0.0,50758
"Census Tract 507.22, Gwinnett County, Georgia",1129.0,1102.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,13,135,50722,909.0,186.0,0.8301369863013699,1095.0,6.0,69.0,74.0,116.0,157.0,37.0,34.0,0.0,25.0,50870
"Census Tract 507.23, Gwinnett County, Georgia",2702.0,2651.0,20.0,0.0,0.0,0.0,0.0,0.0,31.0,13,135,50723,2238.0,321.0,0.8745603751465416,2559.0,135.0,48.0,6.0,290.0,485.0,142.0,143.0,0.0,68.0,50871
"Census Tract 507.24, Gwinnett County, Georgia",6150.0,5165.0,139.0,33.0,0.0,199.0,243.0,118.0,143.0,13,135,50724,4767.0,1301.0,0.785596572181938,6068.0,172.0,350.0,243.0,1321.0,785.0,241.0,82.0,0.0,0.0,50872
"Census Tract 507.25, Gwinnett County, Georgia",2018.0,1885.0,66.0,67.0,0.0,0.0,0.0,0.0,0.0,13,135,50725,1486.0,429.0,0.7759791122715405,1915.0,36.0,104.0,78.0,384.0,191.0,72.0,103.0,18.0,15.0,50873
"Census Tract 507.26, Gwinnett County, Georgia",3275.0,3261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,135,50726,2773.0,396.0,0.8750394446197539,3169.0,99.0,80.0,141.0,391.0,273.0,218.0,106.0,37.0,0.0,50874
"Census Tract 507.27, Gwinnett County, Georgia",3515.0,3495.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,13,135,50727,3112.0,269.0,0.9204377403135168,3381.0,90.0,25.0,123.0,821.0,330.0,431.0,134.0,0.0,91.0,50875
"Census Tract 507.28, Gwinnett County, Georgia",5141.0,5018.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,13,135,50728,3849.0,833.0,0.8220845792396412,4682.0,151.0,166.0,244.0,1007.0,1275.0,320.0,459.0,0.0,203.0,50876
"Census Tract 507.29, Gwinnett County, Georgia",1281.0,834.0,0.0,59.0,9.0,242.0,77.0,60.0,0.0,13,135,50729,632.0,577.0,0.522746071133168,1209.0,32.0,32.0,0.0,248.0,88.0,10.0,72.0,57.0,5.0,50877
"Census Tract 507.30, Gwinnett County, Georgia",2403.0,2119.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,13,135,50730,1515.0,730.0,0.6748329621380846,2245.0,50.0,154.0,147.0,459.0,267.0,28.0,158.0,45.0,50.0,50878
