NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract
"Census Tract 230, DeKalb County, Georgia",1028.0,580.0,68.0,0.0,234.0,117.0,18.0,0.0,11.0,13,089,023000
"Census Tract 218.12, DeKalb County, Georgia",928.0,570.0,143.0,5.0,33.0,134.0,11.0,32.0,0.0,13,089,021812
"Census Tract 219.07, DeKalb County, Georgia",3895.0,2640.0,255.0,36.0,48.0,142.0,351.0,142.0,219.0,13,089,021907
"Census Tract 223.01, DeKalb County, Georgia",3255.0,1550.0,362.0,46.0,177.0,281.0,346.0,158.0,318.0,13,089,022301
"Census Tract 231.01, DeKalb County, Georgia",2018.0,1634.0,74.0,38.0,111.0,56.0,20.0,47.0,38.0,13,089,023101
"Census Tract 231.08, DeKalb County, Georgia",2009.0,1148.0,159.0,81.0,148.0,180.0,129.0,57.0,107.0,13,089,023108
"Census Tract 218.10, DeKalb County, Georgia",2912.0,1578.0,168.0,41.0,21.0,90.0,242.0,101.0,645.0,13,089,021810
"Census Tract 220.08, DeKalb County, Georgia",2503.0,578.0,81.0,81.0,237.0,603.0,679.0,105.0,139.0,13,089,022008
"Census Tract 229, DeKalb County, Georgia",1908.0,1533.0,121.0,25.0,114.0,0.0,0.0,31.0,84.0,13,089,022900
"Census Tract 231.02, DeKalb County, Georgia",1706.0,819.0,62.0,0.0,105.0,321.0,189.0,171.0,39.0,13,089,023102
"Census Tract 234.10, DeKalb County, Georgia",2051.0,416.0,145.0,0.0,102.0,570.0,508.0,168.0,126.0,13,089,023410
"Census Tract 213.06, DeKalb County, Georgia",2082.0,623.0,143.0,54.0,173.0,370.0,432.0,251.0,36.0,13,089,021306
"Census Tract 213.07, DeKalb County, Georgia",1297.0,913.0,79.0,0.0,45.0,150.0,49.0,0.0,22.0,13,089,021307
"Census Tract 213.08, DeKalb County, Georgia",1639.0,912.0,100.0,93.0,119.0,237.0,48.0,85.0,30.0,13,089,021308
"Census Tract 214.09, DeKalb County, Georgia",1445.0,145.0,11.0,58.0,200.0,434.0,271.0,315.0,11.0,13,089,021409
"Census Tract 214.10, DeKalb County, Georgia",2226.0,671.0,224.0,122.0,56.0,291.0,490.0,47.0,325.0,13,089,021410
"Census Tract 214.11, DeKalb County, Georgia",1977.0,708.0,148.0,10.0,95.0,116.0,128.0,454.0,318.0,13,089,021411
"Census Tract 214.12, DeKalb County, Georgia",1533.0,1280.0,183.0,42.0,12.0,16.0,0.0,0.0,0.0,13,089,021412
"Census Tract 214.13, DeKalb County, Georgia",1394.0,302.0,39.0,14.0,128.0,458.0,372.0,81.0,0.0,13,089,021413
"Census Tract 214.14, DeKalb County, Georgia",1988.0,149.0,118.0,10.0,60.0,219.0,495.0,357.0,551.0,13,089,021414
"Census Tract 214.15, DeKalb County, Georgia",1856.0,752.0,231.0,64.0,58.0,75.0,112.0,295.0,269.0,13,089,021415
"Census Tract 214.16, DeKalb County, Georgia",985.0,249.0,311.0,7.0,127.0,213.0,57.0,0.0,10.0,13,089,021416
"Census Tract 214.17, DeKalb County, Georgia",2389.0,129.0,179.0,0.0,234.0,429.0,601.0,513.0,298.0,13,089,021417
"Census Tract 216.05, DeKalb County, Georgia",2807.0,1120.0,41.0,0.0,277.0,262.0,172.0,306.0,629.0,13,089,021605
